  Customer ID  , Customer Name ,EMAIL_ADDRESS,Phone Number,Price (KES),Purchase Date,Age,City,Is Active,Quantity Sold,Internal Notes,Product Model
1028,BRIAN OTIENO  ,brian.otieno@yahoo.com,0712 345 002,"KES 18,200.50",2024-09-10,35.0,nairobi,Yes,850,,Galaxy A54
1029,Aaron Mutiso,aaron@gmail.com,+254712345029,"Ksh 32,000",15/10/2024,38.0,Mombasa,no,950,,Galaxy S24 Ultra
1030,Beatrice Naliaka,beatrice@gmail.com,0712345030,"25,500",2024-11-01,26.0,Nairobi,yes,"1,400",,Galaxy S24
1031,Caleb Onyango,caleb@gmail.com,+254-712-345-031,"Ksh 28,900",2024-01-25,43.0,Kisumu,yes,"1,250",,Galaxy A54
1032,Diana Kerubo,diana@gmail.com,0712 345 032,"Ksh 45,750",28/02/2024,30.0,Nairobi,Yes,850,,Galaxy Note 20
1033,Emmanuel Barasa,emmanuel@gmail.com,(0712) 345-033,"Ksh 18,200","March 30, 2024",37.0,Mombasa,no,"1,500",,Galaxy S24
1034,Faith Mumbi,faith@gmail.com,0712345034,"32,000",2024-04-22,45.0,Nakuru,YES,"2,300",,Galaxy Z Flip
1035,George Korir,george@gmail.com,+254712345035,"Ksh 28,900",,32.0,Nairobi,yes,750,,Galaxy S24
1036,Hellen Atieno,hellen@gmail.com,0712-345-036,"Ksh 25,500",2024-06-12,28.0,Kisumu,no,"1,100",,Galaxy A54
1037,Ian Mwenda,ian@gmail.com,+254 712 345 037,"KES 45,750.00","July 28, 2024",41.0,Nairobi,Yes,"1,800",,Galaxy Note 20
1038,Joyce Nyambura,joyce@gmail.com,0712345038,"Ksh 18,200",2024-08-30,33.0,Mombasa,yes,950,,Galaxy A54
1039,Kevin Otieno,kevin@gmail.com,+254712345039,"Ksh 32,000",10/10/2024,39.0,Nairobi,YES,"1,400",,Galaxy S24
1040,,lucy@gmail.com,0712 345 040,,2024-11-15,,Kisumu,yes,"2,300",,Galaxy A54
1041,Mercy Wangari,mercy@gmail.com,+254-712-345-041,"Ksh 25,500",2024-02-08,36.0,Nakuru,no,"1,250",,Galaxy S24
1042,,another bad email,,"Ksh 28,900",20/03/2024,30.0,Nairobi,Yes,850,,Galaxy S24 Ultra
1043,Oscar Kiplagat,oscar@gmail.com,0712345043,"Ksh 45,750","April 15, 2024",44.0,Mombasa,yes,"1,500",,Galaxy Note 20
1044,Pauline Akoth,pauline@gmail.com,+254 712 345 044,"Ksh 18,200",2024-05-25,27.0,Nairobi,no,"2,300",,Galaxy A54
1045,Quinter Adhiambo,quinter@gmail.com,0712-345-045,"Ksh 32,000",30/06/2024,38.0,Kisumu,YES,750,,Galaxy S24
1046,Ronald Mutua,ronald@gmail.com,+254712345046,"25,500",2024-07-30,42.0,Nairobi,yes,"1,100",,Galaxy Z Flip
1047,Sharon Cherono,sharon@gmail.com,0712 345 047,"Ksh 28,900","August 18, 2024",31.0,Mombasa,Yes,"1,800",,Galaxy A54
1048,Timothy Wekesa,,0712345048,"Ksh 45,750",2024-09-22,35.0,Nakuru,no,950,follow up,Galaxy Note 20
1049,Ursula Kemboi,ursula@gmail.com,+254-712-345-049,"Ksh 18,200",20/10/2024,40.0,Nairobi,yes,"1,400",,Galaxy S24
1050,Victor Onyancha,victor@gmail.com,0712 345 050,"Ksh 32,000",2024-11-25,33.0,Kisumu,Yes,"2,300",,Galaxy A54
